local_time	last_changed	flag	category	scope	sector	car_number	event_id	state	message
09-24 16:56:45	2026-09-24T08:56:45.382862+00:00		Other				2026-09-24T08:56:43|Other|CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 9 12:47:43 (PIT)	CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 9 12:47:43 (PIT)	CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 9 12:47:43 (PIT)
09-24 16:57:40	2026-09-24T08:57:40.398391+00:00		Other				2026-09-24T08:57:38|Other|CAR 77 (BOT) TIME 2:23.403 DELETED - DOUBLE YELLOW AT TURN 7 LAP 6 12:53:52	CAR 77 (BOT) TIME 2:23.403 DELETED - DOUBLE YELLOW AT TURN 7 LAP 6 12:53:52	CAR 77 (BOT) TIME 2:23.403 DELETED - DOUBLE YELLOW AT TURN 7 LAP 6 12:53:52
09-24 16:57:56	2026-09-24T08:57:56.774448+00:00		Other				2026-09-24T08:57:54|Other|CAR 23 (ALB) LAP DELETED - DOUBLE YELLOW AT TURN 7 LAP 13 12:53:58 (PIT)	CAR 23 (ALB) LAP DELETED - DOUBLE YELLOW AT TURN 7 LAP 13 12:53:58 (PIT)	CAR 23 (ALB) LAP DELETED - DOUBLE YELLOW AT TURN 7 LAP 13 12:53:58 (PIT)
09-24 16:57:59	2026-09-24T08:57:59.263522+00:00		Other				2026-09-24T08:57:57|Other|CAR 10 (GAS) TIME 2:20.065 DELETED - DOUBLE YELLOW AT TURN 7 LAP 7 12:54:16	CAR 10 (GAS) TIME 2:20.065 DELETED - DOUBLE YELLOW AT TURN 7 LAP 7 12:54:16	CAR 10 (GAS) TIME 2:20.065 DELETED - DOUBLE YELLOW AT TURN 7 LAP 7 12:54:16
09-24 16:58:29	2026-09-24T08:58:29.168071+00:00	YELLOW	Flag	Sector	5		2026-09-24T08:58:27|Flag|YELLOW IN TRACK SECTOR 5	YELLOW IN TRACK SECTOR 5	YELLOW IN TRACK SECTOR 5
09-24 16:58:29	2026-09-24T08:58:29.170036+00:00	YELLOW	Flag	Sector	4		2026-09-24T08:58:27|Flag|YELLOW IN TRACK SECTOR 4	YELLOW IN TRACK SECTOR 4	YELLOW IN TRACK SECTOR 4
09-24 16:59:02	2026-09-24T08:59:02.641560+00:00	DOUBLE YELLOW	Flag	Sector	5		2026-09-24T08:59:00|Flag|DOUBLE YELLOW IN TRACK SECTOR 5	DOUBLE YELLOW IN TRACK SECTOR 5	DOUBLE YELLOW IN TRACK SECTOR 5
09-24 16:59:14	2026-09-24T08:59:14.820717+00:00	CLEAR	Flag	Sector	5		2026-09-24T08:59:13|Flag|CLEAR IN TRACK SECTOR 5	CLEAR IN TRACK SECTOR 5	CLEAR IN TRACK SECTOR 5
09-24 16:59:16	2026-09-24T08:59:16.565544+00:00	CLEAR	Flag	Sector	4		2026-09-24T08:59:14|Flag|CLEAR IN TRACK SECTOR 4	CLEAR IN TRACK SECTOR 4	CLEAR IN TRACK SECTOR 4
09-24 17:00:54	2026-09-24T09:00:54.347476+00:00		Other				2026-09-24T09:00:52|Other|CAR 18 (STR) TIME 2:17.464 DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:00	CAR 18 (STR) TIME 2:17.464 DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:00	CAR 18 (STR) TIME 2:17.464 DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:00
09-24 17:01:26	2026-09-24T09:01:26.685734+00:00		Other				2026-09-24T09:01:23|Other|CAR 30 (LAW) TIME 2:05.277 DELETED - DOUBLE YELLOW AT TURN 3 LAP 12 12:59:00	CAR 30 (LAW) TIME 2:05.277 DELETED - DOUBLE YELLOW AT TURN 3 LAP 12 12:59:00	CAR 30 (LAW) TIME 2:05.277 DELETED - DOUBLE YELLOW AT TURN 3 LAP 12 12:59:00
09-24 17:01:39	2026-09-24T09:01:39.618879+00:00		Other				2026-09-24T09:01:37|Other|CAR 63 (RUS) TIME 3:03.205 DELETED - TRACK LIMITS AT TURN 3 LAP 11 12:58:28	CAR 63 (RUS) TIME 3:03.205 DELETED - TRACK LIMITS AT TURN 3 LAP 11 12:58:28	CAR 63 (RUS) TIME 3:03.205 DELETED - TRACK LIMITS AT TURN 3 LAP 11 12:58:28
09-24 17:01:49	2026-09-24T09:01:49.604820+00:00		Other				2026-09-24T09:01:47|Other|CAR 3 (VER) TIME 2:22.507 DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:07	CAR 3 (VER) TIME 2:22.507 DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:07	CAR 3 (VER) TIME 2:22.507 DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:07
09-24 17:01:51	2026-09-24T09:01:51.618693+00:00		Other				2026-09-24T09:01:49|Other|CAR 81 (PIA) LAP DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:11 (PIT)	CAR 81 (PIA) LAP DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:11 (PIT)	CAR 81 (PIA) LAP DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 12:59:11 (PIT)
09-24 17:01:52	2026-09-24T09:01:52.332234+00:00		Other				2026-09-24T09:01:50|Other|CAR 3 (VER) TIME 2:22.507 DELETED - TRACK LIMITS AT TURN 1 LAP 10 12:58:36	CAR 3 (VER) TIME 2:22.507 DELETED - TRACK LIMITS AT TURN 1 LAP 10 12:58:36	CAR 3 (VER) TIME 2:22.507 DELETED - TRACK LIMITS AT TURN 1 LAP 10 12:58:36
09-24 17:02:18	2026-09-24T09:02:18.555325+00:00	YELLOW	Flag	Sector	10		2026-09-24T09:02:16|Flag|YELLOW IN TRACK SECTOR 10	YELLOW IN TRACK SECTOR 10	YELLOW IN TRACK SECTOR 10
09-24 17:02:18	2026-09-24T09:02:18.572830+00:00	YELLOW	Flag	Sector	9		2026-09-24T09:02:16|Flag|YELLOW IN TRACK SECTOR 9	YELLOW IN TRACK SECTOR 9	YELLOW IN TRACK SECTOR 9
09-24 17:02:19	2026-09-24T09:02:19.874629+00:00		Other				2026-09-24T09:02:18|Other|INCIDENT INVOLVING ALL CARS NOTED - RACE CONTROL TEST	INCIDENT INVOLVING ALL CARS NOTED - RACE CONTROL TEST	INCIDENT INVOLVING ALL CARS NOTED - RACE CONTROL TEST
09-24 17:02:32	2026-09-24T09:02:32.416077+00:00	CLEAR	Flag	Sector	9		2026-09-24T09:02:30|Flag|CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9
09-24 17:02:34	2026-09-24T09:02:34.264723+00:00	CLEAR	Flag	Sector	10		2026-09-24T09:02:32|Flag|CLEAR IN TRACK SECTOR 10	CLEAR IN TRACK SECTOR 10	CLEAR IN TRACK SECTOR 10
09-24 17:03:39	2026-09-24T09:03:39.937379+00:00		Other				2026-09-24T09:03:38|Other|CAR 5 (BOR) TIME 2:17.229 DELETED - TRACK LIMITS AT TURN 9 LAP 9 13:02:05	CAR 5 (BOR) TIME 2:17.229 DELETED - TRACK LIMITS AT TURN 9 LAP 9 13:02:05	CAR 5 (BOR) TIME 2:17.229 DELETED - TRACK LIMITS AT TURN 9 LAP 9 13:02:05
09-24 17:04:03	2026-09-24T09:04:03.276142+00:00	YELLOW	Flag	Sector	2		2026-09-24T09:04:01|Flag|YELLOW IN TRACK SECTOR 2	YELLOW IN TRACK SECTOR 2	YELLOW IN TRACK SECTOR 2
09-24 17:04:03	2026-09-24T09:04:03.300624+00:00	YELLOW	Flag	Sector	1		2026-09-24T09:04:01|Flag|YELLOW IN TRACK SECTOR 1	YELLOW IN TRACK SECTOR 1	YELLOW IN TRACK SECTOR 1
09-24 17:04:08	2026-09-24T09:04:08.742405+00:00	CLEAR	Flag	Sector	2		2026-09-24T09:04:06|Flag|CLEAR IN TRACK SECTOR 2	CLEAR IN TRACK SECTOR 2	CLEAR IN TRACK SECTOR 2
09-24 17:04:09	2026-09-24T09:04:09.662782+00:00	CLEAR	Flag	Sector	1		2026-09-24T09:04:07|Flag|CLEAR IN TRACK SECTOR 1	CLEAR IN TRACK SECTOR 1	CLEAR IN TRACK SECTOR 1
09-24 17:06:08	2026-09-24T09:06:08.403911+00:00		Other				2026-09-24T09:06:06|Other|TURN 7 INCIDENT INVOLVING CAR 77 (BOT) NOTED - YELLOW FLAG INFRINGEMENT (13:02:16)	TURN 7 INCIDENT INVOLVING CAR 77 (BOT) NOTED - YELLOW FLAG INFRINGEMENT (13:02:16)	TURN 7 INCIDENT INVOLVING CAR 77 (BOT) NOTED - YELLOW FLAG INFRINGEMENT (13:02:16)
09-24 17:06:21	2026-09-24T09:06:21.047670+00:00		Other				2026-09-24T09:06:19|Other|CAR 81 (PIA) TIME 2:17.138 DELETED - TRACK LIMITS AT TURN 1 LAP 12 13:04:01	CAR 81 (PIA) TIME 2:17.138 DELETED - TRACK LIMITS AT TURN 1 LAP 12 13:04:01	CAR 81 (PIA) TIME 2:17.138 DELETED - TRACK LIMITS AT TURN 1 LAP 12 13:04:01
09-24 17:06:59	2026-09-24T09:06:59.075284+00:00		Other				2026-09-24T09:06:56|Other|FIA STEWARDS: TURN 7 INCIDENT INVOLVING CAR 77 (BOT) WILL BE INVESTIGATED AFTER THE SESSION - YELLOW FLAG INFRINGEMENT (13:02:16)	FIA STEWARDS: TURN 7 INCIDENT INVOLVING CAR 77 (BOT) WILL BE INVESTIGATED AFTER THE SESSION - YELLOW FLAG INFRINGEMENT (13:02:16)	FIA STEWARDS: TURN 7 INCIDENT INVOLVING CAR 77 (BOT) WILL BE INVESTIGATED AFTER THE SESSION - YELLOW FLAG INFRINGEMENT (13:02:16)
09-24 17:07:39	2026-09-24T09:07:39.845255+00:00		Other				2026-09-24T09:07:37|Other|FIA STEWARDS: INCIDENT INVOLVING ALL CARS UNDER INVESTIGATION - RACE CONTROL TEST	FIA STEWARDS: INCIDENT INVOLVING ALL CARS UNDER INVESTIGATION - RACE CONTROL TEST	FIA STEWARDS: INCIDENT INVOLVING ALL CARS UNDER INVESTIGATION - RACE CONTROL TEST
09-24 17:07:47	2026-09-24T09:07:47.613549+00:00		Other				2026-09-24T09:07:45|Other|CAR 16 (LEC) TIME 2:25.947 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:04:48	CAR 16 (LEC) TIME 2:25.947 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:04:48	CAR 16 (LEC) TIME 2:25.947 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:04:48
09-24 17:11:27	2026-09-24T09:11:27.406556+00:00		Other				2026-09-24T09:11:25|Other|CAR 14 (ALO) TIME 2:18.636 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:09:08	CAR 14 (ALO) TIME 2:18.636 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:09:08	CAR 14 (ALO) TIME 2:18.636 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:09:08
09-24 17:13:38	2026-09-24T09:13:38.607838+00:00		Other				2026-09-24T09:13:36|Other|FIA STEWARDS: INCIDENT INVOLVING ALL CARS NO FURTHER ACTION - RACE CONTROL TEST	FIA STEWARDS: INCIDENT INVOLVING ALL CARS NO FURTHER ACTION - RACE CONTROL TEST	FIA STEWARDS: INCIDENT INVOLVING ALL CARS NO FURTHER ACTION - RACE CONTROL TEST
09-24 17:26:22	2026-09-24T09:26:22.689001+00:00		Other				2026-09-24T09:20:38|Other|CAR 63 (RUS) TIME 7:41.014 DELETED - TRACK LIMITS AT TURN 15 LAP 17 13:18:11	CAR 63 (RUS) TIME 7:41.014 DELETED - TRACK LIMITS AT TURN 15 LAP 17 13:18:11	CAR 63 (RUS) TIME 7:41.014 DELETED - TRACK LIMITS AT TURN 15 LAP 17 13:18:11
09-24 17:26:22	2026-09-24T09:26:22.691272+00:00		Other				2026-09-24T09:23:26|Other|CAR 41 (LIN) TIME 2:23.391 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:21:00	CAR 41 (LIN) TIME 2:23.391 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:21:00	CAR 41 (LIN) TIME 2:23.391 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:21:00
09-24 17:26:22	2026-09-24T09:26:22.692850+00:00	YELLOW	Flag	Sector	9		2026-09-24T09:24:10|Flag|YELLOW IN TRACK SECTOR 9	YELLOW IN TRACK SECTOR 9	YELLOW IN TRACK SECTOR 9
09-24 17:26:22	2026-09-24T09:26:22.694251+00:00	YELLOW	Flag	Sector	8		2026-09-24T09:24:10|Flag|YELLOW IN TRACK SECTOR 8	YELLOW IN TRACK SECTOR 8	YELLOW IN TRACK SECTOR 8
09-24 17:26:22	2026-09-24T09:26:22.696724+00:00	YELLOW	Flag	Sector	6		2026-09-24T09:25:00|Flag|YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6
09-24 17:26:22	2026-09-24T09:26:22.698222+00:00	YELLOW	Flag	Sector	5		2026-09-24T09:25:00|Flag|YELLOW IN TRACK SECTOR 5	YELLOW IN TRACK SECTOR 5	YELLOW IN TRACK SECTOR 5
09-24 17:26:23	2026-09-24T09:26:23.299622+00:00		SafetyCar				2026-09-24T09:25:19|SafetyCar|VSC DEPLOYED	VSC DEPLOYED	VSC DEPLOYED
09-24 17:26:23	2026-09-24T09:26:23.301576+00:00		Other				2026-09-24T09:25:28|Other|MARSHALS ON TRACK AT TURN 4	MARSHALS ON TRACK AT TURN 4	MARSHALS ON TRACK AT TURN 4
09-24 17:26:23	2026-09-24T09:26:23.303059+00:00	CLEAR	Flag	Sector	9		2026-09-24T09:26:11|Flag|CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9
09-24 17:26:23	2026-09-24T09:26:23.304453+00:00	CLEAR	Flag	Sector	8		2026-09-24T09:26:11|Flag|CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8
09-24 17:26:23	2026-09-24T09:26:23.307390+00:00		Other				2026-09-24T09:26:15|Other|CAR 10 (GAS) TIME 2:37.683 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:23:27	CAR 10 (GAS) TIME 2:37.683 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:23:27	CAR 10 (GAS) TIME 2:37.683 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:23:27
09-24 17:26:30	2026-09-24T09:26:30.887275+00:00		SafetyCar				2026-09-24T09:26:28|SafetyCar|VSC ENDING	VSC ENDING	VSC ENDING
09-24 17:26:41	2026-09-24T09:26:41.575726+00:00	CLEAR	Flag	Track			2026-09-24T09:26:39|Flag|TRACK CLEAR	TRACK CLEAR	TRACK CLEAR
09-24 17:26:41	2026-09-24T09:26:41.717268+00:00	CLEAR	Flag	Sector	5		2026-09-24T09:26:39|Flag|CLEAR IN TRACK SECTOR 5	CLEAR IN TRACK SECTOR 5	CLEAR IN TRACK SECTOR 5
09-24 17:26:41	2026-09-24T09:26:41.741121+00:00	CLEAR	Flag	Sector	6		2026-09-24T09:26:39|Flag|CLEAR IN TRACK SECTOR 6	CLEAR IN TRACK SECTOR 6	CLEAR IN TRACK SECTOR 6
09-24 17:26:48	2026-09-24T09:26:48.133814+00:00	YELLOW	Flag	Sector	6		2026-09-24T09:26:45|Flag|YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6
09-24 17:26:48	2026-09-24T09:26:48.135766+00:00	YELLOW	Flag	Sector	5		2026-09-24T09:26:46|Flag|YELLOW IN TRACK SECTOR 5	YELLOW IN TRACK SECTOR 5	YELLOW IN TRACK SECTOR 5
09-24 17:26:50	2026-09-24T09:26:50.215955+00:00	CLEAR	Flag	Sector	6		2026-09-24T09:26:48|Flag|CLEAR IN TRACK SECTOR 6	CLEAR IN TRACK SECTOR 6	CLEAR IN TRACK SECTOR 6
09-24 17:26:53	2026-09-24T09:26:53.439990+00:00	CLEAR	Flag	Sector	5		2026-09-24T09:26:51|Flag|CLEAR IN TRACK SECTOR 5	CLEAR IN TRACK SECTOR 5	CLEAR IN TRACK SECTOR 5
09-24 17:27:18	2026-09-24T09:27:18.630410+00:00		Other				2026-09-24T09:27:16|Other|CAR 41 (LIN) TIME 3:23.426 DELETED - TRACK LIMITS AT TURN 7 LAP 20 13:24:09	CAR 41 (LIN) TIME 3:23.426 DELETED - TRACK LIMITS AT TURN 7 LAP 20 13:24:09	CAR 41 (LIN) TIME 3:23.426 DELETED - TRACK LIMITS AT TURN 7 LAP 20 13:24:09
09-24 17:27:35	2026-09-24T09:27:35.010477+00:00		Other				2026-09-24T09:27:33|Other|CAR 18 (STR) TIME 2:28.239 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:24:31	CAR 18 (STR) TIME 2:28.239 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:24:31	CAR 18 (STR) TIME 2:28.239 DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:24:31
09-24 17:30:02	2026-09-24T09:30:02.371379+00:00	CHEQUERED	Flag	Track			2026-09-24T09:30:00|Flag|CHEQUERED FLAG	CHEQUERED FLAG	CHEQUERED FLAG
09-24 17:30:09	2026-09-24T09:30:09.181024+00:00		Other				2026-09-24T09:30:07|Other|FIRST CAR TO TAKE THE FLAG - CAR 43 (COL)	FIRST CAR TO TAKE THE FLAG - CAR 43 (COL)	FIRST CAR TO TAKE THE FLAG - CAR 43 (COL)
09-24 17:30:33	2026-09-24T09:30:33.865552+00:00		Other				2026-09-24T09:30:32|Other|CAR 10 (GAS) TIME 2:15.967 DELETED - TRACK LIMITS AT TURN 1 LAP 21 13:28:18	CAR 10 (GAS) TIME 2:15.967 DELETED - TRACK LIMITS AT TURN 1 LAP 21 13:28:18	CAR 10 (GAS) TIME 2:15.967 DELETED - TRACK LIMITS AT TURN 1 LAP 21 13:28:18
09-24 17:35:11	2026-09-24T09:35:11.767402+00:00	YELLOW	Flag	Sector	9		2026-09-24T09:35:10|Flag|YELLOW IN TRACK SECTOR 9	YELLOW IN TRACK SECTOR 9	YELLOW IN TRACK SECTOR 9
09-24 17:35:11	2026-09-24T09:35:11.806645+00:00	YELLOW	Flag	Sector	8		2026-09-24T09:35:10|Flag|YELLOW IN TRACK SECTOR 8	YELLOW IN TRACK SECTOR 8	YELLOW IN TRACK SECTOR 8
09-24 17:35:37	2026-09-24T09:35:37.499542+00:00	DOUBLE YELLOW	Flag	Sector	9		2026-09-24T09:35:35|Flag|DOUBLE YELLOW IN TRACK SECTOR 9	DOUBLE YELLOW IN TRACK SECTOR 9	DOUBLE YELLOW IN TRACK SECTOR 9
09-24 17:35:47	2026-09-24T09:35:47.319660+00:00	CLEAR	Flag	Sector	9		2026-09-24T09:35:45|Flag|CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9
09-24 17:35:47	2026-09-24T09:35:47.377023+00:00	CLEAR	Flag	Sector	8		2026-09-24T09:35:45|Flag|CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8
09-24 17:38:09	2026-09-24T09:38:09.888223+00:00	YELLOW	Flag	Sector	6		2026-09-24T09:38:08|Flag|YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6
09-24 17:38:16	2026-09-24T09:38:16.439272+00:00	CLEAR	Flag	Sector	6		2026-09-24T09:38:14|Flag|CLEAR IN TRACK SECTOR 6	CLEAR IN TRACK SECTOR 6	CLEAR IN TRACK SECTOR 6
09-24 17:38:44	2026-09-24T09:38:44.503448+00:00	YELLOW	Flag	Sector	6		2026-09-24T09:38:42|Flag|YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6	YELLOW IN TRACK SECTOR 6
09-24 17:45:36	2026-09-24T09:45:36.177062+00:00		Other				2026-09-24T09:45:34|Other|RISK OF RAIN FOR F2 QUALIFYING IS 0%	RISK OF RAIN FOR F2 QUALIFYING IS 0%	RISK OF RAIN FOR F2 QUALIFYING IS 0%
09-24 20:00:02	2026-09-24T12:00:02.350458+00:00	GREEN	Flag	Track			2026-09-24T12:00:00|Flag|GREEN LIGHT - PIT EXIT OPEN	GREEN LIGHT - PIT EXIT OPEN	GREEN LIGHT - PIT EXIT OPEN
09-24 20:03:05	2026-09-24T12:03:05.354380+00:00		Other				2026-09-24T12:03:03|Other|CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 2 16:00:36	CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 2 16:00:36	CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 2 16:00:36
09-24 20:15:42	2026-09-24T12:15:42.836995+00:00		Other				2026-09-24T12:15:41|Other|CAR 44 (HAM) TIME 2:10.489 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:12:28	CAR 44 (HAM) TIME 2:10.489 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:12:28	CAR 44 (HAM) TIME 2:10.489 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:12:28
09-24 20:16:57	2026-09-24T12:16:57.719762+00:00	YELLOW	Flag	Sector	14		2026-09-24T12:16:55|Flag|YELLOW IN TRACK SECTOR 14	YELLOW IN TRACK SECTOR 14	YELLOW IN TRACK SECTOR 14
09-24 20:16:57	2026-09-24T12:16:57.752887+00:00	YELLOW	Flag	Sector	13		2026-09-24T12:16:55|Flag|YELLOW IN TRACK SECTOR 13	YELLOW IN TRACK SECTOR 13	YELLOW IN TRACK SECTOR 13
09-24 20:16:58	2026-09-24T12:16:58.436034+00:00	DOUBLE YELLOW	Flag	Sector	14		2026-09-24T12:16:56|Flag|DOUBLE YELLOW IN TRACK SECTOR 14	DOUBLE YELLOW IN TRACK SECTOR 14	DOUBLE YELLOW IN TRACK SECTOR 14
09-24 20:17:01	2026-09-24T12:17:01.244380+00:00	CLEAR	Flag	Sector	14		2026-09-24T12:16:59|Flag|CLEAR IN TRACK SECTOR 14	CLEAR IN TRACK SECTOR 14	CLEAR IN TRACK SECTOR 14
09-24 20:17:01	2026-09-24T12:17:01.738306+00:00		Other				2026-09-24T12:16:59|Other|TRACK SURFACE SLIPPERY IN TRACK SECTOR 14	TRACK SURFACE SLIPPERY IN TRACK SECTOR 14	TRACK SURFACE SLIPPERY IN TRACK SECTOR 14
09-24 20:17:05	2026-09-24T12:17:05.925170+00:00	CLEAR	Flag	Sector	13		2026-09-24T12:17:04|Flag|CLEAR IN TRACK SECTOR 13	CLEAR IN TRACK SECTOR 13	CLEAR IN TRACK SECTOR 13
